accuracy,round
0.005121637125323541,0
0.04793036438080475,20
0.051646312984569065,40
0.1308705887498275,60
0.05003418489507347,80
0.08457257374675539,100
0.06534290535422359,120
0.06824944594655352,140
0.05200908226926047,160
0.15492956020781665,180
0.138475759783586,200
0.2755318536444558,220
0.3064308113039819,240
0.27047288905376116,260
0.3114198878428386,280
0.44407993728510997,300
0.44323615983287634,320
0.4975946961680195,340
0.49502014434023833,360
0.5255049830937404,380
0.5559968048410313,400
0.5533023197200203,420
0.5466138584702488,440
0.5887162960165042,460
0.6064421375528316,480
0.5991076689762634,500
0.5932721317399078,520
0.6393287721159243,540
0.6202636135484819,560
0.6645190965937238,580
0.6698830146832719,600
0.6732183153738749,620
0.6922856947352675,640
0.655574874254621,660
0.6774673879804891,680
0.7013959911260044,700
0.6979980079619371,720
0.7070503401824342,740
0.7258138859678254,760
0.6881500824379582,780
0.7309467723267278,800
0.7310036785056231,820
0.7415472944513417,840
0.7438422764970093,860
0.7258892672016387,880
0.71126717067566,900
0.7464793348361074,920
0.7415663705686806,940
0.734868051696994,960
0.7621092853711919,980
0.7483773863524831,1000
0.7398763461849327,1020
0.7219648989186593,1040
0.774646890740129,1060
0.7689404395716061,1080
0.7737374355944173,1100
0.7756352957049321,1120
0.7712424422878011,1140
0.7855929687022453,1160
0.7754468587634683,1180
0.7574862427913194,1200
0.7904157562428555,1220
0.7891125732589738,1240
0.7881214591286844,1260
0.7851298310858971,1280
0.7666335694784367,1300
0.7886015991523736,1320
0.7976754616215479,1340
0.7933202702383413,1360
0.7930074496292844,1380
0.7925316992945138,1400
0.78604985070328,1420
0.7933483094130822,1440
0.8078863014223411,1460
0.7923680091200769,1480
0.810058384684827,1500
0.7949860928426292,1520
0.8063306768886522,1540
0.8042139965995513,1560
0.794296990852313,1580
0.7915324189912394,1600
0.7991105282407325,1620
0.8154323109052909,1640
0.805620855277772,1660
0.8116687826827585,1680
0.8193361271668899,1700
0.8031827770373154,1720
0.8060691985538346,1740
0.8221435856077416,1760
0.8116980308137645,1780
0.8103461584835311,1800
0.8211608212889234,1820
0.8135249947285869,1840
0.8226392586536355,1860
0.8202458795217548,1880
0.8296366975500044,1900
0.82630129165976,1920
0.8052298529347233,1940
0.8094481425575222,1960
0.8306924554937102,1980
0.8167306371582281,2000
